r[cm]	λ[cm]	Q_ext	Q_sca	g
0.02097152	0.0017372372372372374	2.10879689832379	1.2072177221891558	0.8958872705694804
0.02097152	0.0017401401401401404	2.108918123092944	1.2069689791050997	0.8961160479421267
0.02097152	0.0017430430430430432	2.1090433050031847	1.2067759070623383	0.8963040043645367
0.02097152	0.0017459459459459462	2.109168251923568	1.2065833823103849	0.8964914773713196
0.02097152	0.001748848848848849	2.1092929621202283	1.2063914101692228	0.8966784628449522
0.02097152	0.001751751751751752	2.1094174338525513	1.2061999960021024	0.8968649566454561
0.02097152	0.001754654654654655	2.1095416653733934	1.206009145215921	0.8970509546103219
0.02097152	0.0017575575575575577	2.1096656549292976	1.205818863261608	0.8972364525544285
0.02097152	0.0017604604604604607	2.1097894003838684	1.2056291556345182	0.8974214462699667
0.02097152	0.0017633633633633635	2.1099129007899324	1.2054400278748258	0.8976059315263636
0.02097152	0.0017662662662662665	2.1100361539238945	1.2052514855679188	0.8977899040702053
0.02097152	0.0017691691691691695	2.110159158010962	1.2050635343447946	0.897973359625161
0.02097152	0.0017720720720720722	2.110281911270732	1.204876179882472	0.8981562938919108
0.02097152	0.0017749749749749752	2.1104044119174357	1.2046894279043854	0.898338702548069
0.02097152	0.001777877877877878	2.1105266581601887	1.2045032841807866	0.8985205812481118
0.02097152	0.001780780780780781	2.1106486477809887	1.2043177545291621	0.898701925623304
0.02097152	0.001783683683683684	2.1107703798950315	1.2041328448146291	0.8988827312816245
0.02097152	0.0017865865865865868	2.11089185219234	1.2039485609503553	0.8990629938076972
0.02097152	0.0017894894894894897	2.1110130628659576	1.2037649088979738	0.8992427087627171
0.02097152	0.0017923923923923925	2.111134010104678	1.2035818946680008	0.8994218716843827
0.02097152	0.0017952952952952955	2.1112546920933215	1.2033995243202515	0.8996004780868261
0.02097152	0.0017981981981981983	2.111375107013029	1.2032178039642696	0.899778523460544
0.02097152	0.0018011011011011013	2.111495545012129	1.203045430411142	0.8999493053103111
0.02097152	0.0018040040040040043	2.111619218198486	1.2029769010021056	0.9000400449969428
0.02097152	0.001806906906906907	2.111742712842232	1.2029095851392655	0.900129885529683
0.02097152	0.00180980980980981	2.111866028584272	1.2028434895716442	0.9002188230711009
0.02097152	0.0018127127127127128	2.111989165571296	1.2027786210692033	0.9003068537828445
0.02097152	0.0018156156156156158	2.112112123969006	1.2027149864226725	0.9003939738257902
0.02097152	0.0018185185185185188	2.1122349039624093	1.2026525924433857	0.9004801793602006
0.02097152	0.0018214214214214216	2.1123575057560924	1.2025914459630977	0.9005654665458805
0.02097152	0.0018243243243243246	2.1124799295744956	1.2025315538338084	0.9006498315423341
0.02097152	0.0018272272272272273	2.1126021752571815	1.2024729229275617	0.9007332705089232
0.02097152	0.0018301301301301303	2.1127242439448835	1.2024155601362667	0.9008157796050279
0.02097152	0.0018330330330330333	2.112846135441679	1.202359472371491	0.9008973549902081
0.02097152	0.001835935935935936	2.112967850055672	1.2023046665642612	0.9009779928243664
0.02097152	0.001838838838838839	2.113089774140741	1.202261383991347	0.9010498363282027
0.02097152	0.0018417417417417419	2.1132123202519635	1.2022400444809855	0.9011049096932696
0.02097152	0.0018446446446446448	2.113334725189968	1.2022201419421596	0.9011589581629736
0.02097152	0.0018475475475475478	2.113456989859719	1.2022016829149773	0.9012119784016163
0.02097152	0.0018504504504504506	2.1135791147713547	1.2021846739446496	0.9012639670816318
0.02097152	0.0018533533533533536	2.1137011017776337	1.20216912158116	0.9013149208837739
0.02097152	0.0018562562562562564	2.113822951357527	1.2021550323789105	0.9013648364973047
0.02097152	0.0018591591591591594	2.113944664509799	1.2021424128963851	0.9014137106201835
0.02097152	0.0018620620620620624	2.11406624225628	1.2021312696958046	0.9014615399592566
0.02097152	0.0018649649649649651	2.1141876856419946	1.2021216093427551	0.9015083212304486
0.02097152	0.0018678678678678681	2.114308995735303	1.2021134384058598	0.901554051158953
0.02097152	0.0018707707707707709	2.1144301736280045	1.2021067634563967	0.9015987264794265
0.02097152	0.0018736736736736739	2.1145512204354437	1.2021015910679387	0.9016423439361783
0.02097152	0.0018765765765765769	2.1146721369208326	1.2020979278159956	0.9016849002833668
0.02097152	0.0018794794794794796	2.1147929250574147	1.2020957802776198	0.9017263922851904
0.02097152	0.0018823823823823826	2.114913585587887	1.2020951550310475	0.9017668167160809
0.02097152	0.0018852852852852854	2.1150341197241587	1.2020960586553024	0.9018061703608998
0.02097152	0.0018881881881881884	2.1151545287018996	1.2020984977298312	0.9018444500151309
0.02097152	0.0018910910910910914	2.1152748248794295	1.202102688286722	0.9018814970006415
0.02097152	0.0018939939939939942	2.1154003458742046	1.2022084011806213	0.9018433020721437
0.02097152	0.0018968968968968972	2.115525884588291	1.2023163901801113	0.9018035938523026
0.02097152	0.0018997997997998	2.1156514437873435	1.2024266598315925	0.9017623711733302
0.02097152	0.001902702702702703	2.115777027563965	1.2025392146231617	0.9017196329083613
0.02097152	0.001905605605605606	2.1159026386411908	1.2026540589841284	0.9016753779715811
0.02097152	0.0019085085085085087	2.116028280247906	1.202771197284562	0.9016296053183553
0.02097152	0.0019114114114114117	2.116153955627155	1.2028906338348226	0.9015823139453497
0.02097152	0.0019143143143143145	2.116279668035725	1.2030123728851363	0.9015335028906498
0.02097152	0.0019172172172172174	2.1164054207436616	1.2031364186251408	0.9014831712338777
0.02097152	0.0019201201201201204	2.1165312170338115	1.203262775183477	0.9014313180963011
0.02097152	0.0019230230230230232	2.116657060201337	1.2033914466273619	0.901377942640943
0.02097152	0.0019259259259259262	2.1167829531500777	1.2035224369621889	0.9013230440726839
0.02097152	0.001928828828828829	2.1169089000655306	1.2036557501311127	0.9012666216383621
0.02097152	0.001931731731731732	2.117035052424349	1.2037999939733892	0.9012008938674928
0.02097152	0.0019346346346346347	2.11716173836567	1.2039724942655468	0.9011100887828634
0.02097152	0.0019375375375375377	2.117288514988684	1.2041465806550389	0.9010182619146144
0.02097152	0.0019404404404404407	2.117415384262694	1.204322253064799	0.9009254143598562
0.02097152	0.0019433433433433435	2.1175423481528495	1.204499511385416	0.9008315472348151
0.02097152	0.0019462462462462465	2.1176694086200047	1.2046783554752363	0.9007366616747673
0.02097152	0.0019491491491491493	2.117796567620546	1.2048587851604333	0.9006407588339763
0.02097152	0.0019520520520520522	2.1179238266994775	1.2050408002350834	0.9005438398856236
0.02097152	0.001954954954954955	2.1180511886773665	1.2052244004612653	0.9004459060217423
0.02097152	0.001957857857857858	2.11817865502049	1.2054095855691387	0.9003469584531485
0.02097152	0.001960760760760761	2.118306227667017	1.2055963552570326	0.900246998409369
0.02097152	0.0019636636636636636	2.118433908549655	1.2057847091915415	0.900146027138571
0.02097152	0.0019665665665665666	2.118561699595517	1.2059746470076227	0.9000440459074889
0.02097152	0.0019694694694694695	2.118689602725979	1.2061661683086933	0.8999410560013502
0.02097152	0.0019723723723723725	2.1188176198565394	1.2063592726667391	0.8998370587238013
0.02097152	0.0019752752752752755	2.118945752896666	1.2065539596224217	0.8997320553968337
0.02097152	0.001978178178178178	2.1190740037496427	1.2067502286851852	0.8996260473607044
0.02097152	0.001981081081081081	2.119202373947878	1.2069480793333776	0.8995190359738638
0.02097152	0.001983983983983984	2.119341224741724	1.207290731822977	0.8993078968793892
0.02097152	0.001986886886886887	2.1194809792246874	1.2076432654334162	0.899089912320396
0.02097152	0.00198978978978979	2.119621113398109	1.2079983331845114	0.898870376650799
0.02097152	0.0019926926926926926	2.119761629461915	1.2083559261672714	0.8986492971519034
0.02097152	0.0019955955955955956	2.119902529569395	1.2087160354304183	0.8984266811291134
0.02097152	0.0019984984984984986	2.1200438158274544	1.2090786519816368	0.8982025359113227
0.02097152	0.0020014014014014016	2.1201854902968784	1.2094437667888343	0.8979768688503049
0.02097152	0.0020043043043043046	2.120327554992592	1.2098113707813771	0.8977496873201104
0.02097152	0.002007207207207207	2.1204700114865753	1.2101814548513399	0.8975209987164624
0.02097152	0.00201011011011011	2.1206128625540357	1.2105540098547072	0.8972908104561599
0.02097152	0.002013013013013013	2.1207561096122225	1.2109290266126054	0.8970591299764867
0.02097152	0.002015915915915916	2.1208997544965844	1.2113064959125008	0.8968259647346153
0.02097152	0.002018818818818819	2.1210375722850063	1.2116197164091844	0.8966345919391421
0.02097152	0.0020217217217217216	2.1211750313548454	1.211928027776807	0.8964464727823319
0.02097152	0.0020246246246246246	2.121312719849892	1.21223775094884	0.896257505221514
0.02097152	0.0020275275275275276	2.12145063869975	1.2125488816007357	0.8960676928707973
0.02097152	0.0020304304304304306	2.121588788818363	1.2128614153997865	0.8958770393487057
0.02097152	0.0020333333333333336	2.121727171104121	1.2131753480054326	0.8956855482780255
0.02097152	0.002036236236236236	2.1218657860528896	1.2134906750695649	0.8954932232856522
0.02097152	0.002039139139139139	2.122004635360138	1.2138073922368113	0.8953000680024368
0.02097152	0.002042042042042042	2.122143719429861	1.2141254951448432	0.8951060860630384
0.02097152	0.002044944944944945	2.1222830391001906	1.2144449794246552	0.8949112811057719
0.02097152	0.002047847847847848	2.1224225951940587	1.2147658407008612	0.8947156567724586
0.02097152	0.0020507507507507507	2.1225623885193103	1.2150880745919685	0.8945192167082786
0.02097152	0.0020536536536536537	2.1227024198688302	1.2154116767106575	0.894321964561622
0.02097152	0.0020565565565565567	2.122842690020676	1.2157366426640672	0.8941239039839428
0.02097152	0.0020594594594594597	2.122983199738175	1.2160629680540547	0.893925038629611
0.02097152	0.002062362362362362	2.12312811290851	1.2164395651175417	0.8936898692399736
0.02097152	0.002065265265265265	2.1232856042432178	1.2169609418695224	0.893349876947983
0.02097152	0.002068168168168168	2.1234435835001984	1.2174841162269605	0.8930088795697056
0.02097152	0.002071071071071071	2.1236020486243383	1.2180090736774691	0.8926668878905266
0.02097152	0.002073973973973974	2.1237609979970853	1.2185357997911714	0.8923239126513436
0.02097152	0.0020768768768768767	2.123920429982049	1.2190642802207194	0.8919799645483748
0.02097152	0.0020797797797797797	2.124080342925721	1.219594500701253	0.8916350542329761
0.02097152	0.0020826826826826827	2.1242407351582044	1.2201264470503832	0.8912891923114653
0.02097152	0.0020855855855855857	2.1244016049939107	1.2206601051681236	0.8909423893449521
0.02097152	0.0020884884884884887	2.124562950732242	1.22119546103682	0.8905946558491732
0.02097152	0.0020913913913913913	2.1247197027350433	1.2216893003551337	0.890271707726171
0.02097152	0.0020942942942942942	2.1248719891178744	1.2221434783991114	0.8899724373213913
0.02097152	0.0020971971971971972	2.125024498786395	1.2225982150422379	0.889672912029932
0.02097152	0.0021001001001001002	2.1251772313665014	1.223053505155959	0.889373135949712
0.02097152	0.0021030030030030032	2.1253301853024675	1.2235093436474342	0.8890731131550907
0.02097152	0.0021059059059059058	2.125483359457586	1.223965725459251	0.888772847696965
0.02097152	0.0021088088088088088	2.125636752698138	1.2244226455691565	0.8884723436028628
0.02097152	0.0021117117117117118	2.12579036389343	1.2248800989897544	0.8881716048770397
0.02097152	0.0021146146146146147	2.1259441919158486	1.2253380807682266	0.887870635500573
0.02097152	0.0021175175175175177	2.126098235640927	1.2257965859860722	0.8875694394314549
0.02097152	0.0021204204204204203	2.126252493947368	1.2262556097588049	0.8872680206046872
0.02097152	0.0021233233233233233	2.126406965717104	1.2267151472356945	0.8869663829323745
0.02097152	0.0021262262262262263	2.1265616494365287	1.2271751935994737	0.8866645303038161
0.02097152	0.0021291291291291293	2.1267165448435352	1.2276357440660988	0.8863624665856055
0.02097152	0.002132032032032032	2.1268716503724927	1.2280967938844578	0.8860601956217169
