z_levels	P_levels	kzz_levels
506055.02426429174	360120.0	18000000000.0
509828.70236783236	320020.0	18000000000.0
513531.61440164765	284390.0	17500000000.0
517164.46166726487	252720.0	17000000000.0
520725.26014225394	224580.0	16500000000.0
524212.75355707196	199580.0	15500000000.0
527627.751087601	177360.0	14500000000.0
530969.7789714229	157610.0	13500000000.0
534237.2117541111	140060.0	12500000000.0
537430.2387379782	124460.0	11500000000.0
540543.9563010576	110610.0	10100000000.0
543583.4133813928	98290.0	8450000000.0
546544.52345142	87346.0	6800000000.0
549428.4609900764	77620.0	4900000000.0
552234.8008969781	68977.0	3250000000.0
554971.6586705128	61297.0	2200000000.0
557649.2979837407	54472.0	1550000000.0
560271.8749617238	48407.0	1300000000.0
562840.3912238001	43017.0	1300000000.0
565356.6701681839	38227.0	1300000000.0
567823.4628375219	33971.0	1300000000.0
570245.5769454498	30188.0	1300000000.0
572629.9649342523	26827.0	1300000000.0
574984.0389211386	23840.0	1300000000.0
577307.448336604	21185.0	1350000000.0
579597.3129382693	18826.0	1400000000.0
581851.6936751218	16730.0	1400000000.0
584070.202319046	14867.0	1400000000.0
586253.7035749373	13212.0	1450000000.0
588410.9231242728	11741.0	1500000000.0
590545.6028222446	10434.0	1500000000.0
592656.8674077992	9271.8	1550000000.0
594740.0964556488	8239.4	1600000000.0
596798.8144318109	7322.0	1600000000.0
598837.5283580702	6506.7	1650000000.0
600856.9777406844	5782.2	1700000000.0
602854.8408359269	5138.4	1750000000.0
604827.1422834734	4566.3	1800000000.0
606771.2755959141	4057.8	1800000000.0
608682.1098274763	3606.0	1850000000.0
610556.2813859648	3204.5	1900000000.0
612391.9930601127	2847.7	1900000000.0
614190.791245387	2530.6	1900000000.0
615956.0907446081	2248.8	1950000000.0
617691.3998862937	1998.4	2000000000.0
619400.1494729888	1775.9	2000000000.0
621085.0948330193	1578.2	2050000000.0
622748.7925354034	1402.5	2100000000.0
624393.5202011217	1246.3	2150000000.0
626019.9109778015	1107.5	2200000000.0
627628.3411898222	984.21	2250000000.0
629220.5355117228	874.6200000000001	2300000000.0
630796.6133979268	777.23	2350000000.0
632356.7778736824	690.6899999999999	2450000000.0
633901.3302928342	613.79	2500000000.0
