elem_name	ibin	pctop	pcbot	ftopp	fbotp
"Pure TiO2"	45	0.0	0.0	0.0	0.0
"Mg2SiO4 Mantle"	45	0.0	0.0	0.0	0.0
"TiO2 Core (Mg2SiO4)"	45	0.0	0.0	0.0	0.0
"Pure TiO2"	46	0.0	0.0	0.0	0.0
"Mg2SiO4 Mantle"	46	0.0	0.0	0.0	0.0
"TiO2 Core (Mg2SiO4)"	46	0.0	0.0	0.0	0.0
"Pure TiO2"	47	0.0	0.0	0.0	0.0
"Mg2SiO4 Mantle"	47	0.0	0.0	0.0	0.0
"TiO2 Core (Mg2SiO4)"	47	0.0	0.0	0.0	0.0
"Pure TiO2"	48	0.0	0.0	0.0	0.0
"Mg2SiO4 Mantle"	48	0.0	0.0	0.0	0.0
"TiO2 Core (Mg2SiO4)"	48	0.0	0.0	0.0	0.0
"Pure TiO2"	49	0.0	0.0	0.0	0.0
"Mg2SiO4 Mantle"	49	0.0	0.0	0.0	0.0
"TiO2 Core (Mg2SiO4)"	49	0.0	0.0	0.0	0.0
"Pure TiO2"	50	0.0	0.0	0.0	0.0
"Mg2SiO4 Mantle"	50	0.0	0.0	0.0	0.0
"TiO2 Core (Mg2SiO4)"	50	0.0	0.0	0.0	0.0
"Pure TiO2"	51	0.0	0.0	0.0	0.0
"Mg2SiO4 Mantle"	51	0.0	0.0	0.0	0.0
"TiO2 Core (Mg2SiO4)"	51	0.0	0.0	0.0	0.0
"Pure TiO2"	52	0.0	0.0	0.0	0.0
"Mg2SiO4 Mantle"	52	0.0	0.0	0.0	0.0
"TiO2 Core (Mg2SiO4)"	52	0.0	0.0	0.0	0.0
"Pure TiO2"	53	0.0	0.0	0.0	0.0
"Mg2SiO4 Mantle"	53	0.0	0.0	0.0	0.0
"TiO2 Core (Mg2SiO4)"	53	0.0	0.0	0.0	0.0
"Pure TiO2"	54	0.0	0.0	0.0	0.0
"Mg2SiO4 Mantle"	54	0.0	0.0	0.0	0.0
"TiO2 Core (Mg2SiO4)"	54	0.0	0.0	0.0	0.0
"Pure TiO2"	55	0.0	0.0	0.0	0.0
"Mg2SiO4 Mantle"	55	0.0	0.0	0.0	0.0
"TiO2 Core (Mg2SiO4)"	55	0.0	0.0	0.0	0.0
"Pure TiO2"	56	0.0	0.0	0.0	0.0
"Mg2SiO4 Mantle"	56	0.0	0.0	0.0	0.0
"TiO2 Core (Mg2SiO4)"	56	0.0	0.0	0.0	0.0
"Pure TiO2"	57	0.0	0.0	0.0	0.0
"Mg2SiO4 Mantle"	57	0.0	0.0	0.0	0.0
"TiO2 Core (Mg2SiO4)"	57	0.0	0.0	0.0	0.0
"Pure TiO2"	58	0.0	0.0	0.0	0.0
"Mg2SiO4 Mantle"	58	0.0	0.0	0.0	0.0
"TiO2 Core (Mg2SiO4)"	58	0.0	0.0	0.0	0.0
"Pure TiO2"	59	0.0	0.0	0.0	0.0
"Mg2SiO4 Mantle"	59	0.0	0.0	0.0	0.0
"TiO2 Core (Mg2SiO4)"	59	0.0	0.0	0.0	0.0
"Pure TiO2"	60	0.0	0.0	0.0	0.0
"Mg2SiO4 Mantle"	60	0.0	0.0	0.0	0.0
"TiO2 Core (Mg2SiO4)"	60	0.0	0.0	0.0	0.0
"Pure TiO2"	61	0.0	0.0	0.0	0.0
"Mg2SiO4 Mantle"	61	0.0	0.0	0.0	0.0
"TiO2 Core (Mg2SiO4)"	61	0.0	0.0	0.0	0.0
"Pure TiO2"	62	0.0	0.0	0.0	0.0
"Mg2SiO4 Mantle"	62	0.0	0.0	0.0	0.0
"TiO2 Core (Mg2SiO4)"	62	0.0	0.0	0.0	0.0
"Pure TiO2"	63	0.0	0.0	0.0	0.0
"Mg2SiO4 Mantle"	63	0.0	0.0	0.0	0.0
"TiO2 Core (Mg2SiO4)"	63	0.0	0.0	0.0	0.0
"Pure TiO2"	64	0.0	0.0	0.0	0.0
"Mg2SiO4 Mantle"	64	0.0	0.0	0.0	0.0
"TiO2 Core (Mg2SiO4)"	64	0.0	0.0	0.0	0.0
"Pure TiO2"	65	0.0	0.0	0.0	0.0
"Mg2SiO4 Mantle"	65	0.0	0.0	0.0	0.0
"TiO2 Core (Mg2SiO4)"	65	0.0	0.0	0.0	0.0
"Pure TiO2"	66	0.0	0.0	0.0	0.0
"Mg2SiO4 Mantle"	66	0.0	0.0	0.0	0.0
"TiO2 Core (Mg2SiO4)"	66	0.0	0.0	0.0	0.0
"Pure TiO2"	67	0.0	0.0	0.0	0.0
"Mg2SiO4 Mantle"	67	0.0	0.0	0.0	0.0
"TiO2 Core (Mg2SiO4)"	67	0.0	0.0	0.0	0.0
"Pure TiO2"	68	0.0	0.0	0.0	0.0
"Mg2SiO4 Mantle"	68	0.0	0.0	0.0	0.0
"TiO2 Core (Mg2SiO4)"	68	0.0	0.0	0.0	0.0
"Pure TiO2"	69	0.0	0.0	0.0	0.0
"Mg2SiO4 Mantle"	69	0.0	0.0	0.0	0.0
"TiO2 Core (Mg2SiO4)"	69	0.0	0.0	0.0	0.0
"Pure TiO2"	70	0.0	0.0	0.0	0.0
"Mg2SiO4 Mantle"	70	0.0	0.0	0.0	0.0
"TiO2 Core (Mg2SiO4)"	70	0.0	0.0	0.0	0.0
"Pure TiO2"	71	0.0	0.0	0.0	0.0
"Mg2SiO4 Mantle"	71	0.0	0.0	0.0	0.0
"TiO2 Core (Mg2SiO4)"	71	0.0	0.0	0.0	0.0
"Pure TiO2"	72	0.0	0.0	0.0	0.0
"Mg2SiO4 Mantle"	72	0.0	0.0	0.0	0.0
"TiO2 Core (Mg2SiO4)"	72	0.0	0.0	0.0	0.0
"Pure TiO2"	73	0.0	0.0	0.0	0.0
"Mg2SiO4 Mantle"	73	0.0	0.0	0.0	0.0
"TiO2 Core (Mg2SiO4)"	73	0.0	0.0	0.0	0.0
"Pure TiO2"	74	0.0	0.0	0.0	0.0
"Mg2SiO4 Mantle"	74	0.0	0.0	0.0	0.0
"TiO2 Core (Mg2SiO4)"	74	0.0	0.0	0.0	0.0
"Pure TiO2"	75	0.0	0.0	0.0	0.0
"Mg2SiO4 Mantle"	75	0.0	0.0	0.0	0.0
"TiO2 Core (Mg2SiO4)"	75	0.0	0.0	0.0	0.0
"Pure TiO2"	76	0.0	0.0	0.0	0.0
"Mg2SiO4 Mantle"	76	0.0	0.0	0.0	0.0
"TiO2 Core (Mg2SiO4)"	76	0.0	0.0	0.0	0.0
"Pure TiO2"	77	0.0	0.0	0.0	0.0
"Mg2SiO4 Mantle"	77	0.0	0.0	0.0	0.0
"TiO2 Core (Mg2SiO4)"	77	0.0	0.0	0.0	0.0
"Pure TiO2"	78	0.0	0.0	0.0	0.0
"Mg2SiO4 Mantle"	78	0.0	0.0	0.0	0.0
"TiO2 Core (Mg2SiO4)"	78	0.0	0.0	0.0	0.0
"Pure TiO2"	79	0.0	0.0	0.0	0.0
"Mg2SiO4 Mantle"	79	0.0	0.0	0.0	0.0
"TiO2 Core (Mg2SiO4)"	79	0.0	0.0	0.0	0.0
